timestamps,x
572.87324,1003.515244
573.817738,1003.50441
574.762207,1003.501968
575.706611,1003.499603
576.651056,1003.499603
577.595366,1003.501282
578.539599,1003.501282
579.483723,1003.493958
580.427856,1003.493958
581.371977,1003.516541
582.316065,1003.521194
583.259989,1003.53447
584.203956,1003.562775
585.147937,1003.579788
586.091854,1003.579788
587.035885,1003.579788
587.979991,1003.569489
588.924609,1003.561401
589.869688,1003.547363
590.815093,1003.547363
591.760648,1003.545151
592.706115,1003.525009
593.651665,1003.513107
594.597188,1003.512878
595.54271,1003.512878
596.488247,1003.509064
597.433768,1003.509064
598.379363,1003.516159
599.325024,1003.517075
600.270665,1003.516159
601.216408,1003.514557
602.16221,1003.514557
603.107972,1003.520203
604.053881,1003.525772
604.999725,1003.533936
605.9455,1003.552017
606.891161,1003.56926
607.836784,1003.57872
608.782223,1003.583221
609.727432,1003.583908
610.67261,1003.589783
611.618028,1003.594131
612.563787,1003.60054
613.509538,1003.610229
614.455519,1003.611603
615.401482,1003.611603
616.347349,1003.611603
617.29282,1003.61557
618.238064,1003.619919
619.18331,1003.630142
620.128701,1003.631592
621.07435,1003.631592
622.020283,1003.619766
622.9664,1003.610458
623.912645,1003.605194
624.858979,1003.600693
625.805486,1003.600693
626.751942,1003.606339
627.69871,1003.61145
628.645466,1003.617554
629.592349,1003.622284
630.539253,1003.622284
631.486106,1003.618393
632.432988,1003.615417
633.379883,1003.613586
634.326841,1003.613586
635.273695,1003.616638
636.220608,1003.620911
637.167441,1003.620911
638.114336,1003.609695
639.061148,1003.596268
